sender,receiver,edge_type
MisterSci,jrosenberg6432,reply
MarizaBenitez17,adi127son,reply
dyereliz,hhereau,reply
TedWillard2061,dyereliz,reply
SarahOpenSciEd,dyereliz,reply
liyahalexandria,lejaeeeeee,reply
phaneritic,hellyeahcorks,reply
yadiiraan,ShwrThght,reply
PaulKabesa,arobasepo,reply
IVivicc,iimplovv,reply
Mosbo_,Brasil_Fortnite,reply
jhubb546,hhereau,reply
zupahstar,PplOppsngTyrnny,reply
PoquitoBird,RenTradewind,reply
SnySci97,KatyDornbos,reply
alasdairu1,alasdairu1,reply
shiva7th,nightbirdlili,reply
akennethn,akennethn,reply
akennethn,akennethn,reply
akennethn,akennethn,reply
akennethn,akennethn,reply
akennethn,akennethn,reply
akennethn,akennethn,reply
HeatherARich,bmorefield1,reply
clbmanning,EthanRockStory,reply
TheSpaceTeacher,clbmanning,reply
CErSE_US,Geolominologist,reply
CErSE_US,mntreehugger,reply
EthanRockStory,CErSE_US,reply
CErSE_US,EthanRockStory,reply
5thgradehatter,Comcultgirl,reply
PostPCEra,PostPCEra,reply
dynamo_mano,ngss_official,reply
scheetah,NGSS_tweeps,reply
rdavisteaches,rdavisteaches,reply
MrsBarnett_Tchr,slnadams,reply
abzvshhsbsn,akmirippbulan,reply
Xeno_lith,clamsandsnails,reply
romulo_tal,Cxlixtx,reply
ma2sbioteach,NGSS_tweeps,reply
emilymathews246,TedWillard2061,reply
SarahRiveraSTEM,shirky17,reply
TedWillard2061,dgSciGuy,reply
CCantkier,weibertscience,reply
MsLorisStory,MsLorisStory,reply
nmscienceteach,NGSS_tweeps,reply
drloriandersen,kmgill135,reply
Richgrey6,goldontheroxxx,reply
rebabbott,sciteach79,reply
mgsscience,weibertscience,reply
drloriandersen,sbottasullivan,reply
takimoto23x,AGuyNamedNam,reply
CamilleMosley14,NGSS_tweeps,reply
sci_rocksstars,NGSS_tweeps,reply
sci_rocksstars,NGSS_tweeps,reply
heinoldj,KellyMeans,reply
richbacolor,rvccngss,reply
AjaySenthil4,ngss_official,reply
stemk12AZ,NGSS_tweeps,reply
amyperruso,KristiOda,reply
seminoruyume,miyumin7,reply
snails____,snails____,reply
lauriewretling,NGSS_tweeps,reply
geiscas,NGSS_tweeps,reply
FrontPoarchSTEM,NGSS_tweeps,reply
macha_chunen902,monta_091,reply
gwenckatz,MLAbbottWrites,reply
Shafeeeu_Imam,_hafsat_paki,reply
the_fish_nerd,NGSS_tweeps,reply
teachearthspace,philiplbell,reply
Kevedes,NGSS_tweeps,reply
MitchNobis,richbacolor,reply
KaraHaaSciEd,NGSS_tweeps,reply
KaraHaaSciEd,NGSS_tweeps,reply
PeggyAshbrook,NGSS_tweeps,reply
globalecochange,NGSS_tweeps,reply
StephenBHeard,NGSS_tweeps,reply
StephenBHeard,NGSS_tweeps,reply
__softminho__,sngminmine,reply
DGiannoulatou,NGSS_tweeps,reply
NGSS_tweeps,NGSS_tweeps,reply
BMSscienceteach,NGSS_tweeps,reply
fultondl7,NGSS_tweeps,reply
dgianelos,BMSscienceteach,reply
kellyanne1905,NGSS_tweeps,reply
Xeno_lith,NGSS_tweeps,reply
sorrowen,robbiesharpp,reply
