sender,receiver,edge_type
VRValicento,TRUE,retweet
bhsaunders,TRUE,retweet
AnnMarieByrnes,TRUE,retweet
pinoybear,TRUE,retweet
Nature_Is_Grand,TRUE,retweet
whoreaditwrong,TRUE,retweet
philiplbell,TRUE,retweet
philiplbell,TRUE,retweet
NaturalScienceK,TRUE,retweet
KRScienceLady,TRUE,retweet
KRScienceLady,TRUE,retweet
paul_ruscher,TRUE,retweet
hgalbreath1,TRUE,retweet
CHitch94,TRUE,retweet
turley_renee,TRUE,retweet
turley_renee,TRUE,retweet
LNLindsa98,TRUE,retweet
naystomeetyou,TRUE,retweet
Xeno_lith,TRUE,retweet
kissingfauna,TRUE,retweet
Harsha_ravilla,TRUE,retweet
Jleescience,TRUE,retweet
RienasScience,TRUE,retweet
moralesandbee,TRUE,retweet
TheSchoolNewss,TRUE,retweet
CoachMyU,TRUE,retweet
3DScinceguy,TRUE,retweet
Leshell,TRUE,retweet
_KennyUong_,TRUE,retweet
phestohierosoul,TRUE,retweet
ricpts,TRUE,retweet
JenniferFine5,TRUE,retweet
Ajamison72,TRUE,retweet
TedWillard2061,TRUE,retweet
MrsWatkinsSTEM,TRUE,retweet
KathyFoustORS,TRUE,retweet
STEM_ist,TRUE,retweet
NYSMTP,TRUE,retweet
HDMCardenaDenis,TRUE,retweet
CErSE_US,TRUE,retweet
CErSE_US,TRUE,retweet
CErSE_US,TRUE,retweet
DenissehGm,TRUE,retweet
drloriandersen,TRUE,retweet
jengutierrez18,TRUE,retweet
SHSciLabTeacher,TRUE,retweet
PeggyAshbrook,TRUE,retweet
bflamel,TRUE,retweet
rino221b,TRUE,retweet
drloriandersen,TRUE,retweet
science_4_all,TRUE,retweet
DrHenryGarrett,TRUE,retweet
hpfxntastic,TRUE,retweet
Xeno_lith,TRUE,retweet
Xeno_lith,TRUE,retweet
Xeno_lith,TRUE,retweet
Iksterror,TRUE,retweet
Ltropf,TRUE,retweet
zoelleetmoi,TRUE,retweet
townsendtana,TRUE,retweet
STEMTeachTools,TRUE,retweet
HTPSMathScience,TRUE,retweet
urbie,TRUE,retweet
jrollins_,TRUE,retweet
LAMBRADLEY,TRUE,retweet
_Greg_J,TRUE,retweet
hilarywperry,TRUE,retweet
OwensL66,TRUE,retweet
BorgesRobyn,TRUE,retweet
FWu9eFwno2G9aTL,TRUE,retweet
TEKS_RS_Science,TRUE,retweet
TannyMcG,TRUE,retweet
beyer149,TRUE,retweet
NYSMTP,TRUE,retweet
RainySeason0710,TRUE,retweet
SRVUSD_NGSS,TRUE,retweet
sandycompany,TRUE,retweet
NaturZientziak,TRUE,retweet
NSTA_XVII,TRUE,retweet
NYSMTP,TRUE,retweet
TytoOnline,TRUE,retweet
Ltropf,TRUE,retweet
DenFishe,TRUE,retweet
QiLearningRsch,TRUE,retweet
philiplbell,TRUE,retweet
sadececansu_,TRUE,retweet
lex1science,TRUE,retweet
CollisNoelle,TRUE,retweet
STEMequality,TRUE,retweet
DonnaMorgan8,TRUE,retweet
hlthiskrieger,TRUE,retweet
utdcTRamirez,TRUE,retweet
KeniRienks,TRUE,retweet
sen_bullshits,TRUE,retweet
PraxisMedHat,TRUE,retweet
philiplbell,TRUE,retweet
MostlyMicrobes,TRUE,retweet
JasonJaffe,TRUE,retweet
STEMequality,TRUE,retweet
STEMequality,TRUE,retweet
LauraEVentura,TRUE,retweet
cjcochrane21,TRUE,retweet
SkyscraperWoman,TRUE,retweet
patti_works,TRUE,retweet
guron65,TRUE,retweet
sciencecat222,TRUE,retweet
Mark45dominic,TRUE,retweet
ARBrownMI,TRUE,retweet
hansjaaggi,TRUE,retweet
mmdeforrest,TRUE,retweet
eufenemi,TRUE,retweet
sara_d_nelson,TRUE,retweet
MsSchave,TRUE,retweet
richbacolor,TRUE,retweet
PPSScience_Team,TRUE,retweet
lancejd1,TRUE,retweet
STEMkins9484,TRUE,retweet
misteraycock,TRUE,retweet
DrDSteele_PhD,TRUE,retweet
philiplbell,TRUE,retweet
Tina_Cheuk,TRUE,retweet
jengutierrez18,TRUE,retweet
amityjayne,TRUE,retweet
HCPSSElemSci,TRUE,retweet
DevinMcQuaig,TRUE,retweet
AhrensScience,TRUE,retweet
WmGReed,TRUE,retweet
massudance,TRUE,retweet
EllistarTara,TRUE,retweet
Ajamison72,TRUE,retweet
NewsHourExtra,TRUE,retweet
GoffTeaches,TRUE,retweet
JEnlow12,TRUE,retweet
ericspreng,TRUE,retweet
frizzlerichard,TRUE,retweet
Noita_2206,TRUE,retweet
ACHOSinfo,TRUE,retweet
jengutierrez18,TRUE,retweet
EmeelRedza,TRUE,retweet
UCLAScienceProj,TRUE,retweet
mrnesi,TRUE,retweet
Imsouthern,TRUE,retweet
yshimojyo,TRUE,retweet
PPSScience_Team,TRUE,retweet
WilliamFranzell,TRUE,retweet
Jleescience,TRUE,retweet
Ltropf,TRUE,retweet
eklose,TRUE,retweet
mrsfransci,TRUE,retweet
Ms_Edena,TRUE,retweet
MuzakLisa,TRUE,retweet
vicpasquantonio,TRUE,retweet
MajinRew,TRUE,retweet
yshimojyo,TRUE,retweet
BadLibrarian,TRUE,retweet
ImmersedGames,TRUE,retweet
KwendycrowT,TRUE,retweet
drsnowflack,TRUE,retweet
WilliamFranzell,TRUE,retweet
OfficialNGSS,TRUE,retweet
WilliamFranzell,TRUE,retweet
NSTA_XVII,TRUE,retweet
jengutierrez18,TRUE,retweet
MrCollierRWHS,TRUE,retweet
WilliamFranzell,TRUE,retweet
DrStephOBrien,TRUE,retweet
ACHOSinfo,TRUE,retweet
KFar527,TRUE,retweet
rfaulkner9,TRUE,retweet
CaseyKing107,TRUE,retweet
PreK12STEM,TRUE,retweet
Clover_88,TRUE,retweet
ACHOSinfo,TRUE,retweet
estrellarii,TRUE,retweet
akjs1186,TRUE,retweet
EnglishHurst,TRUE,retweet
CMS_Ferguson,TRUE,retweet
CMS_Ferguson,TRUE,retweet
Imogen_herrick,TRUE,retweet
MarcusMarkle,TRUE,retweet
waiting90days,TRUE,retweet
longislandtonv,TRUE,retweet
RickFitzpatric3,TRUE,retweet
MkNanairononiji,TRUE,retweet
jean_rothman,TRUE,retweet
Xeno_lith,TRUE,retweet
lex1science,TRUE,retweet
kaley_da_bug,TRUE,retweet
CranOutdoorEd,TRUE,retweet
davidmiyashiro,TRUE,retweet
ScienceStephens,TRUE,retweet
RaamendraSharm7,TRUE,retweet
beyer149,TRUE,retweet
drcrean,TRUE,retweet
CErSE_US,TRUE,retweet
lazysamih,TRUE,retweet
S_Smith_1st,TRUE,retweet
STEMkins9484,TRUE,retweet
RondaCosby,TRUE,retweet
RondaCosby,TRUE,retweet
giulsxheaven,TRUE,retweet
jeansciqueen,TRUE,retweet
ACHOSinfo,TRUE,retweet
NewsHourExtra,TRUE,retweet
ACHOSinfo,TRUE,retweet
DrTLovesBooks,TRUE,retweet
amymanlapas,TRUE,retweet
TSsouthwest,TRUE,retweet
boldbiology,TRUE,retweet
WilliamFranzell,TRUE,retweet
STEM_Leedy,TRUE,retweet
Mizteaches,TRUE,retweet
KRScienceLady,TRUE,retweet
cynthiar95,TRUE,retweet
BSCSorg,TRUE,retweet
CHARRONPUGSLEYH,TRUE,retweet
ChesapeakeHS,TRUE,retweet
MicroEarthSci,TRUE,retweet
AGUGeodesy,TRUE,retweet
eklose,TRUE,retweet
meg_gruber,TRUE,retweet
EDvidence,TRUE,retweet
3DplanJeanane,TRUE,retweet
miroyscience,TRUE,retweet
prometheusgreen,TRUE,retweet
MDHJohnson,TRUE,retweet
jada_Deshell,TRUE,retweet
alvarado_tawny,TRUE,retweet
BlinnjaTheNinja,TRUE,retweet
richbacolor,TRUE,retweet
nicolakidsbooks,TRUE,retweet
K12Alliance,TRUE,retweet
phenomonica,TRUE,retweet
ihairsalons,TRUE,retweet
kwzoehfeld,TRUE,retweet
CowlishawKoalas,TRUE,retweet
LakeElementary,TRUE,retweet
cjcochrane21,TRUE,retweet
Ltropf,TRUE,retweet
philiplbell,TRUE,retweet
philiplbell,TRUE,retweet
ActivateScience,TRUE,retweet
EllistarTara,TRUE,retweet
sagemountaintr2,TRUE,retweet
_lilrazorblade_,TRUE,retweet
swatisahu3189,TRUE,retweet
samir_patil,TRUE,retweet
JeffcoScience,TRUE,retweet
Carson_Jen_E,TRUE,retweet
AllnSTEM,TRUE,retweet
SteamTeamBooks,TRUE,retweet
MZ_Parks,TRUE,retweet
weronikajanczuk,TRUE,retweet
KathieMacIsaac,TRUE,retweet
RoblynHatch,TRUE,retweet
SaraLeimkuhler,TRUE,retweet
Porphyrianna,TRUE,retweet
dgburris,TRUE,retweet
philiplbell,TRUE,retweet
philiplbell,TRUE,retweet
Demetrice_S,TRUE,retweet
CErSE_US,TRUE,retweet
CErSE_US,TRUE,retweet
julieasilva,TRUE,retweet
KathyFoustORS,TRUE,retweet
EdwardKopp7,TRUE,retweet
Steph4Science,TRUE,retweet
abadri09,TRUE,retweet
mr_reedy,TRUE,retweet
MsLorisStory,TRUE,retweet
NGSS_tweeps,TRUE,retweet
MissA_DBEXCEL,TRUE,retweet
NGSS_tweeps,TRUE,retweet
tynalaversova,TRUE,retweet
Ducks_SCORE,TRUE,retweet
BMSscienceteach,TRUE,retweet
KMWMitchell,TRUE,retweet
DJPattenaude,TRUE,retweet
elleallever,TRUE,retweet
EmilyCoren,TRUE,retweet
JenniferFine5,TRUE,retweet
ARichards_LS,TRUE,retweet
HeatherSisson4,TRUE,retweet
WCSDEmpowers,TRUE,retweet
twnklstrr,TRUE,retweet
CRA_Bulldogs,TRUE,retweet
ericspreng,TRUE,retweet
WilliamFranzell,TRUE,retweet
CranstonSchools,TRUE,retweet
WilliamFranzell,TRUE,retweet
wandabryant,TRUE,retweet
NozomikoSan,TRUE,retweet
waiting90days,TRUE,retweet
StacksandJoules,TRUE,retweet
grayron,TRUE,retweet
salonsaturday,TRUE,retweet
bbressman1,TRUE,retweet
lex1science,TRUE,retweet
MsMikeRSD13,TRUE,retweet
ngsnavigators,TRUE,retweet
3DplanJeanane,TRUE,retweet
momopiersicuta,TRUE,retweet
lunatic208,TRUE,retweet
Inquiry2Action,TRUE,retweet
wandabryant,TRUE,retweet
carolynSTEMRI,TRUE,retweet
Coach970,TRUE,retweet
richbacolor,TRUE,retweet
hhereau,TRUE,retweet
shekarqc77,TRUE,retweet
DqbStand,TRUE,retweet
CaseyKing107,TRUE,retweet
GipperichBill,TRUE,retweet
jamesbshort,TRUE,retweet
article_51,TRUE,retweet
sagemountaintr2,TRUE,retweet
serratore4,TRUE,retweet
mbraaten,TRUE,retweet
cjcochrane21,TRUE,retweet
Jleescience,TRUE,retweet
philiplbell,TRUE,retweet
blackdayspas,TRUE,retweet
JeylsonGermano,TRUE,retweet
uclacenterx,TRUE,retweet
MSTAMich,TRUE,retweet
k2komatsubara,TRUE,retweet
wtf_bugg,TRUE,retweet
sbrownMRT,TRUE,retweet
chembiocomua,TRUE,retweet
GeoSciNerd,TRUE,retweet
phenomonica,TRUE,retweet
AllejandAlvarez,TRUE,retweet
SamiraJamil5,TRUE,retweet
MrsArmenta7,TRUE,retweet
LisaLov19628486,TRUE,retweet
cjcochrane21,TRUE,retweet
MissLinsey1,TRUE,retweet
GaryM,TRUE,retweet
MrsRoberts777,TRUE,retweet
tbakerRRPS,TRUE,retweet
CAGreenRibbon,TRUE,retweet
JeffcoScience,TRUE,retweet
JEnlow12,TRUE,retweet
abadri09,TRUE,retweet
hickstro,TRUE,retweet
jenedmentor,TRUE,retweet
Jleescience,TRUE,retweet
acwscience,TRUE,retweet
Earnse_Shop,TRUE,retweet
RTCC_VT,TRUE,retweet
sagemountaintr2,TRUE,retweet
NGSS_tweeps,TRUE,retweet
xWaOEyEOQJnFoMq,TRUE,retweet
richbacolor,TRUE,retweet
catsinacradle,TRUE,retweet
Inquiry2Action,TRUE,retweet
AllieBBogart,TRUE,retweet
JayGreenlinger,TRUE,retweet
auntjennoelle,TRUE,retweet
rsheeds,TRUE,retweet
WilliamFranzell,TRUE,retweet
Perezgirl_98,TRUE,retweet
TKtalksSTEAM,TRUE,retweet
philiplbell,TRUE,retweet
drloriandersen,TRUE,retweet
Moon_SeeDa,TRUE,retweet
mremathteacher,TRUE,retweet
maschoeneck,TRUE,retweet
MsHoelting,TRUE,retweet
NGSS_tweeps,TRUE,retweet
violeberrr,TRUE,retweet
jeffersonsurfer,TRUE,retweet
maschoeneck,TRUE,retweet
ousley_monica,TRUE,retweet
KorbySaunders,TRUE,retweet
gfuzzyrocks,TRUE,retweet
Ewallace1976,TRUE,retweet
Rebelsnortheast,TRUE,retweet
StacyKTweets,TRUE,retweet
drloriandersen,TRUE,retweet
PPS_Science,TRUE,retweet
RTCC_VT,TRUE,retweet
lraganas,TRUE,retweet
czem,TRUE,retweet
b_i_zzy,TRUE,retweet
TifftheSTEMist,TRUE,retweet
BrianOwenMWRep,TRUE,retweet
SFEnvironment,TRUE,retweet
thomascmurray,TRUE,retweet
SFEnvironment,TRUE,retweet
HigbeeWilson,TRUE,retweet
KathyKavan,TRUE,retweet
jeansciqueen,TRUE,retweet
nagt_se,TRUE,retweet
christinahoff21,TRUE,retweet
GRRECKY,TRUE,retweet
eusdtweets,TRUE,retweet
eusdtweets,TRUE,retweet
CornubiaGeol,TRUE,retweet
mirok_zk,TRUE,retweet
VolusiaSTEM,TRUE,retweet
wewright1234,TRUE,retweet
SciWise,TRUE,retweet
estica99,TRUE,retweet
SoDakCurious,TRUE,retweet
ElGovEcon,TRUE,retweet
EPS_McGill,TRUE,retweet
DellMcMullen,TRUE,retweet
SahasBarve,TRUE,retweet
britlc3,TRUE,retweet
waiting90days,TRUE,retweet
NGSS_tweeps,TRUE,retweet
Attilla_IV,TRUE,retweet
yoongiskitten19,TRUE,retweet
sciencecat222,TRUE,retweet
holly_nevada,TRUE,retweet
NHSaves,TRUE,retweet
LabAids,TRUE,retweet
LabAids,TRUE,retweet
navywrestlemom,TRUE,retweet
NSTA,TRUE,retweet
BSCSorg,TRUE,retweet
heroponyo,TRUE,retweet
STEAM_SCCOE,TRUE,retweet
JenniferFine5,TRUE,retweet
JenniferFine5,TRUE,retweet
saxena_akrati,TRUE,retweet
1stFriendSS,TRUE,retweet
RachelleinMI,TRUE,retweet
Ajamison72,TRUE,retweet
Ajamison72,TRUE,retweet
Taoyuan15,TRUE,retweet
JoyStarks,TRUE,retweet
OpenSciEd,TRUE,retweet
tambeccerra,TRUE,retweet
phenomonica,TRUE,retweet
phenomonica,TRUE,retweet
Xeno_lith,TRUE,retweet
philiplbell,TRUE,retweet
drloriandersen,TRUE,retweet
dcasanova77,TRUE,retweet
ACHOSinfo,TRUE,retweet
TdiShelton,TRUE,retweet
jengutierrez18,TRUE,retweet
BoliDundee,TRUE,retweet
ACHOSinfo,TRUE,retweet
MsLorisStory,TRUE,retweet
ACHOSinfo,TRUE,retweet
sexyvbts,TRUE,retweet
ACHOSinfo,TRUE,retweet
ACHOSinfo,TRUE,retweet
TdiShelton,TRUE,retweet
SoDakCurious,TRUE,retweet
MsB_Reilly,TRUE,retweet
ACHOSinfo,TRUE,retweet
tjscience,TRUE,retweet
qzxcbw__,TRUE,retweet
ACHOSinfo,TRUE,retweet
TdiShelton,TRUE,retweet
SoDakCurious,TRUE,retweet
Imr44773139,TRUE,retweet
TdiShelton,TRUE,retweet
tjscience,TRUE,retweet
philiplbell,TRUE,retweet
ACHOSinfo,TRUE,retweet
philiplbell,TRUE,retweet
MsLorisStory,TRUE,retweet
ACHOSinfo,TRUE,retweet
ACHOSinfo,TRUE,retweet
ACHOSinfo,TRUE,retweet
ACHOSinfo,TRUE,retweet
ACHOSinfo,TRUE,retweet
TdiShelton,TRUE,retweet
MsLorisStory,TRUE,retweet
MsB_Reilly,TRUE,retweet
ACHOSinfo,TRUE,retweet
frizzlerichard,TRUE,retweet
SoDakCurious,TRUE,retweet
MsB_Reilly,TRUE,retweet
SoDakCurious,TRUE,retweet
dtothetk,TRUE,retweet
ACHOSinfo,TRUE,retweet
nerderymisfit,TRUE,retweet
ACHOSinfo,TRUE,retweet
frizzlerichard,TRUE,retweet
ACHOSinfo,TRUE,retweet
WildesAnnie,TRUE,retweet
charter2005,TRUE,retweet
KimberlyFluet,TRUE,retweet
saucedoscience,TRUE,retweet
ACHOSinfo,TRUE,retweet
MsElizabethMahi,TRUE,retweet
philiplbell,TRUE,retweet
TanyaSWright,TRUE,retweet
frizzlerichard,TRUE,retweet
triciahinton76,TRUE,retweet
phenomonica,TRUE,retweet
3DplanJeanane,TRUE,retweet
3DplanJeanane,TRUE,retweet
lex1science,TRUE,retweet
ccsd_cpd,TRUE,retweet
StephenBurgin,TRUE,retweet
tjscience,TRUE,retweet
NGSS_tweeps,TRUE,retweet
CTSKeeley,TRUE,retweet
KirbyrRobyn,TRUE,retweet
CTScience,TRUE,retweet
STEMkins9484,TRUE,retweet
wandabryant,TRUE,retweet
Sci_Rem,TRUE,retweet
TedWillard2061,TRUE,retweet
GinaTeso,TRUE,retweet
JamazingTeachin,TRUE,retweet
KimberlyFluet,TRUE,retweet
1hardhuskerfan,TRUE,retweet
PJFullenkamp,TRUE,retweet
HCPSSElemSci,TRUE,retweet
STEMTeachTools,TRUE,retweet
DAlcazarRoman,TRUE,retweet
brooke_larm,TRUE,retweet
coteducation,TRUE,retweet
AngelaDeBarger,TRUE,retweet
SciEdHenry,TRUE,retweet
frizzlerichard,TRUE,retweet
OpenSciEd,TRUE,retweet
HCPSSElemSci,TRUE,retweet
krademaker,TRUE,retweet
PlansSub,TRUE,retweet
KRScienceLady,TRUE,retweet
STEMReading,TRUE,retweet
saxena_akrati,TRUE,retweet
drsnowflack,TRUE,retweet
EdMarketBrief,TRUE,retweet
HTPSMathScience,TRUE,retweet
GoOpenNetwork,TRUE,retweet
GUHSD_Science,TRUE,retweet
Xeno_lith,TRUE,retweet
AllejandAlvarez,TRUE,retweet
hgalbreath1,TRUE,retweet
navywrestlemom,TRUE,retweet
saxena_akrati,TRUE,retweet
JeffcoScience,TRUE,retweet
JeffcoScience,TRUE,retweet
JeffcoScience,TRUE,retweet
saxena_akrati,TRUE,retweet
iSTEMk12,TRUE,retweet
cnguyeneducate,TRUE,retweet
teacherbrandi,TRUE,retweet
PrintedByRob0ts,TRUE,retweet
shj_1130_twt,TRUE,retweet
Xeno_lith,TRUE,retweet
beyer149,TRUE,retweet
wewright1234,TRUE,retweet
sbottasullivan,TRUE,retweet
sbottasullivan,TRUE,retweet
drcrean,TRUE,retweet
iSTEMk12,TRUE,retweet
jengutierrez18,TRUE,retweet
PPS_Science,TRUE,retweet
ElemSci_JennBW,TRUE,retweet
MrAleoSays,TRUE,retweet
NanaOxford,TRUE,retweet
sbottasullivan,TRUE,retweet
Promando,TRUE,retweet
MrsCEastShore,TRUE,retweet
Hope_PLAEASci,TRUE,retweet
thewordmechanic,TRUE,retweet
saxena_akrati,TRUE,retweet
NorwalkPS,TRUE,retweet
NGSS_tweeps,TRUE,retweet
amylkelly81,TRUE,retweet
mathcoachrivera,TRUE,retweet
MsBates8,TRUE,retweet
APSLZ4,TRUE,retweet
Mguy58,TRUE,retweet
NGSSphenomena,TRUE,retweet
laylah,TRUE,retweet
rwarren42,TRUE,retweet
MrTScienceWx,TRUE,retweet
NGSS_tweeps,TRUE,retweet
DaskalosDouglas,TRUE,retweet
AMSeducation,TRUE,retweet
SherryBirchem,TRUE,retweet
KRScienceLady,TRUE,retweet
RascalPride,TRUE,retweet
SRVUSD_NGSS,TRUE,retweet
KansasEPSCoR,TRUE,retweet
Guille_Ruiz_,TRUE,retweet
nextgenstoryli1,TRUE,retweet
nextgenstoryli1,TRUE,retweet
burnsscicoach,TRUE,retweet
gbheducation,TRUE,retweet
mdoty_doty,TRUE,retweet
NGSS_tweeps,TRUE,retweet
NGSS_tweeps,TRUE,retweet
RTCC_VT,TRUE,retweet
ChesapeakeHS,TRUE,retweet
saxena_akrati,TRUE,retweet
MsMteachesELLs,TRUE,retweet
saxena_akrati,TRUE,retweet
jengutierrez18,TRUE,retweet
jengutierrez18,TRUE,retweet
utdcTRamirez,TRUE,retweet
utdcTRamirez,TRUE,retweet
young_evolve,TRUE,retweet
BrowardSTEM,TRUE,retweet
ObiWanNICKobi,TRUE,retweet
ExploreLearning,TRUE,retweet
NGSS_tweeps,TRUE,retweet
NGSS_tweeps,TRUE,retweet
CfcscienceT,TRUE,retweet
hawthornegc,TRUE,retweet
vhhydroponics,TRUE,retweet
ALAWolfPride,TRUE,retweet
maggiesbyline,TRUE,retweet
_nicoletz,TRUE,retweet
MatterMagBot,TRUE,retweet
korytellers,TRUE,retweet
angiearends22,TRUE,retweet
torsui,TRUE,retweet
chidambara09,TRUE,retweet
jkjohnsonbell,TRUE,retweet
EDCtweets,TRUE,retweet
nseventyseven,TRUE,retweet
rosiesweeneyx,TRUE,retweet
LynetteN14,TRUE,retweet
NSTA,TRUE,retweet
phenomonica,TRUE,retweet
MsRazus,TRUE,retweet
DcMarlena,TRUE,retweet
ElizaEatonStern,TRUE,retweet
JenniferFine5,TRUE,retweet
PeggyAshbrook,TRUE,retweet
CevahirYlmaz5,TRUE,retweet
KimberlyFluet,TRUE,retweet
KimberlyFluet,TRUE,retweet
saxena_akrati,TRUE,retweet
hhereau,TRUE,retweet
MissNeutrino,TRUE,retweet
ACHOSinfo,TRUE,retweet
MysterySci,TRUE,retweet
Coryymichael,TRUE,retweet
OpenSciEd,TRUE,retweet
EdChatEU,TRUE,retweet
SciEdSpence,TRUE,retweet
saxena_akrati,TRUE,retweet
jmccluan,TRUE,retweet
mbraaten,TRUE,retweet
SoDakCurious,TRUE,retweet
SoDakCurious,TRUE,retweet
SoDakCurious,TRUE,retweet
Xeno_lith,TRUE,retweet
EllistarTara,TRUE,retweet
philiplbell,TRUE,retweet
tonysofun,TRUE,retweet
NYSMTP,TRUE,retweet
NewsHourExtra,TRUE,retweet
saucedoscience,TRUE,retweet
OpenSciEd,TRUE,retweet
GUHSD_Science,TRUE,retweet
wewright1234,TRUE,retweet
PrintedByRob0ts,TRUE,retweet
ACHOSinfo,TRUE,retweet
wewright1234,TRUE,retweet
AAtterrato,TRUE,retweet
dgburris,TRUE,retweet
philiplbell,TRUE,retweet
saxena_akrati,TRUE,retweet
phenomonica,TRUE,retweet
3DScinceguy,TRUE,retweet
NGSS_tweeps,TRUE,retweet
mscaprioli,TRUE,retweet
ACHOSinfo,TRUE,retweet
OpenSciEd,TRUE,retweet
wandabryant,TRUE,retweet
inclusionchick,TRUE,retweet
biologygoddess,TRUE,retweet
jessesemeyn,TRUE,retweet
frizzlerichard,TRUE,retweet
durso,TRUE,retweet
inQuery,TRUE,retweet
gaymergirlmona,TRUE,retweet
iSTEMk12,TRUE,retweet
3DplanJeanane,TRUE,retweet
the_fish_nerd,TRUE,retweet
MelissaRenko,TRUE,retweet
marinsci,TRUE,retweet
WCSDEmpowers,TRUE,retweet
saxena_akrati,TRUE,retweet
pok0x,TRUE,retweet
mrszqazi,TRUE,retweet
middleweb,TRUE,retweet
krademaker,TRUE,retweet
krademaker,TRUE,retweet
XFazio_BrockU,TRUE,retweet
EPS_McGill,TRUE,retweet
christineliuart,TRUE,retweet
ACHOSinfo,TRUE,retweet
UnderTheCROod,TRUE,retweet
js_wichers,TRUE,retweet
LynnDevlieg,TRUE,retweet
808TFellows,TRUE,retweet
ngsnavigators,TRUE,retweet
NewsHourExtra,TRUE,retweet
saxena_akrati,TRUE,retweet
3DplanJeanane,TRUE,retweet
bjc913,TRUE,retweet
AshleyDBenne,TRUE,retweet
mrbellsci,TRUE,retweet
MSTAMich,TRUE,retweet
WiltonSchools,TRUE,retweet
DrKevinJSmith95,TRUE,retweet
utdcTRamirez,TRUE,retweet
SHSciLabTeacher,TRUE,retweet
3DScinceguy,TRUE,retweet
2footgiraffe,TRUE,retweet
saxena_akrati,TRUE,retweet
MSTAMich,TRUE,retweet
KristenBrummel,TRUE,retweet
ACHOSinfo,TRUE,retweet
WoSECtweets,TRUE,retweet
fastplants,TRUE,retweet
HistoryLbusd,TRUE,retweet
rr_roberson,TRUE,retweet
lashandaw,TRUE,retweet
TickledLearner,TRUE,retweet
vicpasquantonio,TRUE,retweet
adrianachavira,TRUE,retweet
blocht574,TRUE,retweet
nathan_inouye,TRUE,retweet
LizPotterNelson,TRUE,retweet
saxena_akrati,TRUE,retweet
UnderTheCROod,TRUE,retweet
BMSscienceteach,TRUE,retweet
JaimeRechenberg,TRUE,retweet
MsWilliamsee,TRUE,retweet
phenomonica,TRUE,retweet
phaneritic,TRUE,retweet
MalikfaheemF,TRUE,retweet
MsCorene,TRUE,retweet
JeffcoScience,TRUE,retweet
tinkthinktank,TRUE,retweet
LauraOnwuka,TRUE,retweet
RachelZ_BD,TRUE,retweet
saxena_akrati,TRUE,retweet
rochoaed,TRUE,retweet
mnovakccl,TRUE,retweet
ACHOSinfo,TRUE,retweet
DarthScience,TRUE,retweet
JamieRGurganus,TRUE,retweet
JeffcoScience,TRUE,retweet
amylkelly81,TRUE,retweet
AlysonVanalphen,TRUE,retweet
Hope_PLAEASci,TRUE,retweet
saxena_akrati,TRUE,retweet
ebzscience,TRUE,retweet
PrintedByRob0ts,TRUE,retweet
Chasing7thStars,TRUE,retweet
EduScientia,TRUE,retweet
ShurdhoJoela,TRUE,retweet
Polly0112,TRUE,retweet
LamondWendi,TRUE,retweet
pesterplarson3,TRUE,retweet
TickledLearner,TRUE,retweet
ittoku_tokutoku,TRUE,retweet
saxena_akrati,TRUE,retweet
CellieNJuju,TRUE,retweet
TracyAEBG,TRUE,retweet
Sci_Rem,TRUE,retweet
TracyJarrett9,TRUE,retweet
ACHOSinfo,TRUE,retweet
ACHOSinfo,TRUE,retweet
KRScienceLady,TRUE,retweet
chasselbring321,TRUE,retweet
sbottasullivan,TRUE,retweet
Imsouthern,TRUE,retweet
Pollar2007,TRUE,retweet
mara_fiorentina,TRUE,retweet
LarsenLab,TRUE,retweet
ACHOSinfo,TRUE,retweet
ACHOSinfo,TRUE,retweet
drloriandersen,TRUE,retweet
drloriandersen,TRUE,retweet
ertheworld,TRUE,retweet
mrbattagliaD201,TRUE,retweet
PPSScience_Team,TRUE,retweet
omsk_ab23_mass,TRUE,retweet
PPSScience_Team,TRUE,retweet
NewsHourExtra,TRUE,retweet
CTScience,TRUE,retweet
historycomics,TRUE,retweet
bahriah_twt,TRUE,retweet
Clover_88,TRUE,retweet
FieldSchLibrary,TRUE,retweet
LeenaBMc,TRUE,retweet
tim2buble,TRUE,retweet
ACHOSinfo,TRUE,retweet
EFaszewski,TRUE,retweet
MooDogPress,TRUE,retweet
sagemountaintr2,TRUE,retweet
bjone6,TRUE,retweet
RopersLibrary,TRUE,retweet
JackieCraigMN,TRUE,retweet
SkypeScientist,TRUE,retweet
cjbauers,TRUE,retweet
saxena_akrati,TRUE,retweet
sbottasullivan,TRUE,retweet
MetisCaferestau,TRUE,retweet
NYSMTP,TRUE,retweet
PhETsims,TRUE,retweet
OpenSciEd,TRUE,retweet
PPSScience_Team,TRUE,retweet
saxena_akrati,TRUE,retweet
Xeno_lith,TRUE,retweet
mjheinz57,TRUE,retweet
mjheinz57,TRUE,retweet
DGNScience,TRUE,retweet
DGNScience,TRUE,retweet
donatelli_teach,TRUE,retweet
ACHOSinfo,TRUE,retweet
ANikolaTech,TRUE,retweet
4mr103,TRUE,retweet
lina_eisenberg,TRUE,retweet
iamkesler,TRUE,retweet
SkypeScientist,TRUE,retweet
emilytwo,TRUE,retweet
ms__emery,TRUE,retweet
debrajknight2,TRUE,retweet
geosociety,TRUE,retweet
STEM_Leedy,TRUE,retweet
mlepene,TRUE,retweet
ATjelmeland,TRUE,retweet
BUSDFuentes,TRUE,retweet
CindyBScience,TRUE,retweet
