name,responded,indegree,betweennessdegree,professional_role,professional_role_10_text_coded,freq_use,length_of_use,confidence_ngss,know_framework,know_ngss,use_of_ngsschat,code
richbaccalor,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Instructional Leader
heatherarich,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Instructional Leader
ibchemmilam,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Teacher
miss_schilling_,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Teacher
ashley_green2,TRUE,1,26,Teacher,NA,Every other week,3 years or more,Good,Good,Good,Monthly,Teacher
mslorisstory,TRUE,1,17.5,Instructional Leader,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly,Instructional Leader
ksscienceguy,TRUE,1,27.5,Organization,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Frequency of use varies (please describe),Organization
kollmanrebecca,TRUE,1,19,Teacher,NA,Frequency of use varies (please describe),3 years or more,Average,Average,Good,Once a week,Teacher
cjcochrane21,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Instructional Leader
philipbell,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Researcher
kdrury,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Other
dailystem,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Organization
ngss_tweeps,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Organization
shchemistry,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Teacher
tolerance_org,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Organization
casas_jimmy,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Organization
bbarent,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Instructional Leader
drweatherhead,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Instructional Leader
cindylkern,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Researcher
fredende,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Instructional Leader
3dplanjeanane,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Instructional Leader
mrpchemistry,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Teacher
openscied,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Organization
katienovakudl,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Organization
kimdchem,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Teacher
triscicurious,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Organization
philliplbell,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Researcher
mrsljscience,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Researcher
