sender,receiver,professional_role,professional_role_10_text_coded,freq_use,length_of_use,confidence_ngss,know_framework,know_ngss,use_of_ngsschat
krademaker,bk3dsci,Organization,consultant,Every other week,3 years or more,Excellent,Excellent,Excellent,2-3 times a week
safarnum,philiplbell,Teacher,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Once a week
33heupel,tdishelton,Teacher,NA,Participated once or twice,3 years or more,Average,Average,Average,Frequency of use varies (please describe)
kollmanrebecca,tjscience,Teacher,NA,Frequency of use varies (please describe),3 years or more,Average,Average,Good,Once a week
tkatovich,tjscience,Teacher,NA,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Monthly
missdematteo,casas_jimmy,Organization,NA,Monthly,2- 3 years,Average,Good,Average,2-3 times a week
calliescience,richbaccalor,Teacher,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly
bowtie_sciguy,bbarent,NA,NA,NA,NA,NA,NA,NA,NA
sagemountaintr2,drweatherhead,Teacher,NA,Every other week,2- 3 years,Good,Good,Good,Once a week
dramyhimes,philiplbell,NA,NA,NA,NA,NA,NA,NA,NA
marismiller6,scijeanne,Instructional Leader,NA,Frequency of use varies (please describe),2- 3 years,Good,Excellent,Excellent,Monthly
reiserbrianj,bpenuel,Faculty,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Once a week
frizzlerichard,meganrelmore,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week
elemscitchr,philiplbell,Teacher,NA,Participated once or twice,3 years or more,Good,Excellent,Excellent,2-3 times a week
terry711,cindylkern,Instructional Leader,coach,Frequency of use varies (please describe),3 years or more,Average,Good,Good,2-3 times a week
ashley_green2,frizzlerichard,Teacher,NA,Every other week,3 years or more,Good,Good,Good,Monthly
karalu79,fredende,Teacher,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Daily
nicolejbolduc,vogelwendi,Teacher,NA,Participated once or twice,3 years or more,Excellent,Good,Excellent,Monthly
nicolejbolduc,vogelwendi,Teacher,NA,Every other week,3 years or more,Average,Average,Good,Daily
kmgill135,scijeanne,Organization,coach,Every other week,3 years or more,Excellent,Excellent,Excellent,Never
kernelstem,tedwillard2061,Teacher,NA,Participated once or twice,2- 3 years,Good,Excellent,Excellent,Once a week
wandabryant,philiplbell,NA,NA,NA,NA,NA,NA,NA,NA
bmsscienceteach,2footgiraffe,Teacher,NA,Monthly,3 years or more,Good,Good,Good,Daily
anne_mayre,miss_schilling_,Teacher,NA,Every other week,3 years or more,Good,Good,Excellent,2-3 times a week
achosinfo,2footgiraffe,Other,consultant,Every other week,3 years or more,Average,Good,Good,Frequency of use varies (please describe)
betsylawrence82,krsciencelady,Teacher,NA,Monthly,2- 3 years,Good,Excellent,Excellent,Never
mslorisstory,tjscience,Instructional Leader,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly
lyn13360,2footgiraffe,NA,NA,NA,NA,NA,NA,NA,NA
scijeanne,krenaep,Organization,researcher,Every other week,3 years or more,Excellent,Excellent,Excellent,2-3 times a week
sbottasullivan,wandabryant,Instructional Leader,NA,Every other week,1- 2 years,Good,Good,Good,2-3 times a week
auntjennoelle,flabellinajg,Instructional Leader,administrator,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Once a week
corabelle1974,tjscience,Teacher,NA,Frequency of use varies (please describe),2- 3 years,Average,Good,Good,Daily
mrsg_slp,philiplbell,NA,NA,NA,NA,NA,NA,NA,NA
ashleysbloch,miss_schilling_,Teacher,NA,Monthly,3 years or more,Average,Good,Good,2-3 times a week
ksscienceguy,flabellinajg,Organization,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Frequency of use varies (please describe)
tksciguy,hhereau,Teacher,NA,Monthly,3 years or more,Good,Good,Good,Once a week
mistersci,leena219,Teacher,NA,Every other week,2- 3 years,Good,Good,Good,Once a week
digitaltidepool,3dplanjeanane,Teacher,NA,Participated once or twice,3 years or more,Good,Good,Good,Monthly
eacole09,philiplbell,Instructional Leader,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Monthly
kimmomteacher,digitaltidepool,Teacher,NA,Every other week,1- 2 years,Average,Average,Average,Once a week
kimmomteacher,digitaltidepool,Teacher,NA,Monthly,3 years or more,Average,Average,Average,Once a week
wisdpiscience,tedwillard2061,Instructional Leader,administrator,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Frequency of use varies (please describe)
kimmomteacher,digitaltidepool,Teacher,NA,Every other week,1- 2 years,Average,Average,Average,Once a week
kimmomteacher,digitaltidepool,Teacher,NA,Monthly,3 years or more,Average,Average,Average,Once a week
krsciencelady,philiplbell,Organization,consultant,Every other week,3 years or more,Good,Good,Good,Daily
krsciencelady,philiplbell,Organization,NA,Every other week,3 years or more,Good,Good,Good,2-3 times a week
hhereau,bpenuel,Organization,coach,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Monthly
annamccarroll,mrpchemistry,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week
cariwilliamz,bpenuel,Instructional Leader,researcher,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Once a week
krsciencelady,drspruitt,Organization,consultant,Every other week,3 years or more,Good,Good,Good,Daily
krsciencelady,drspruitt,Organization,NA,Every other week,3 years or more,Good,Good,Good,2-3 times a week
raazzerah,drspruitt,Instructional Leader,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Daily
leena219,openscied,NA,NA,NA,NA,NA,NA,NA,NA
krademaker,bpenuel,Organization,consultant,Every other week,3 years or more,Excellent,Excellent,Excellent,2-3 times a week
safarnum,2footgiraffe,Teacher,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Once a week
33heupel,missdematteo,Teacher,NA,Participated once or twice,3 years or more,Average,Average,Average,Frequency of use varies (please describe)
kollmanrebecca,sbottasullivan,Teacher,NA,Frequency of use varies (please describe),3 years or more,Average,Average,Good,Once a week
tkatovich,dtcampbe,Teacher,NA,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Monthly
missdematteo,katienovakudl,Organization,NA,Monthly,2- 3 years,Average,Good,Average,2-3 times a week
calliescience,tjscience,Teacher,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly
bowtie_sciguy,kimdchem,NA,NA,NA,NA,NA,NA,NA,NA
sagemountaintr2,stemteachtools,Teacher,NA,Every other week,2- 3 years,Good,Good,Good,Once a week
dramyhimes,bpenuel,NA,NA,NA,NA,NA,NA,NA,NA
marismiller6,hhereau,Instructional Leader,NA,Frequency of use varies (please describe),2- 3 years,Good,Excellent,Excellent,Monthly
reiserbrianj,tedwillard2061,Faculty,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Once a week
frizzlerichard,philiplbell,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week
elemscitchr,krenaep,Teacher,NA,Participated once or twice,3 years or more,Good,Excellent,Excellent,2-3 times a week
terry711,philiplbell,Instructional Leader,coach,Frequency of use varies (please describe),3 years or more,Average,Good,Good,2-3 times a week
ashley_green2,meganrelmore,Teacher,NA,Every other week,3 years or more,Good,Good,Good,Monthly
karalu79,bpenuel,Teacher,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Daily
nicolejbolduc,tdishelton,Teacher,NA,Participated once or twice,3 years or more,Excellent,Good,Excellent,Monthly
nicolejbolduc,tdishelton,Teacher,NA,Every other week,3 years or more,Average,Average,Good,Daily
kmgill135,mslorisstory,Organization,coach,Every other week,3 years or more,Excellent,Excellent,Excellent,Never
