"name","indegree_all","betweenness_all","indegree_reply","betweenness_reply","indegree_retweet","betweenness_retweet","indegree_mention","betweenness_mention","responded","indegree_survey","betweenness_survey","professional_role","professional_role_10_text_coded","freq_use","length_of_use","confidence_ngss","know_framework","know_ngss","use_of_ngsschat","code"
"cascience",222,121200.932505423,2,0,42,14104.4019875424,178,127312.630154757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mysterysci",222,11844,NA,NA,0,0,222,11844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nextgenscience",218,48625.4686970924,12,419,61,7426.58634297541,145,51349.8715932117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"richbacolor",205,290231.248517939,20,11591.024998591,62,22072.9923664948,123,285705.647770134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thinksci",204,71178.4696914193,33,9398.63677960546,52,0,119,67217.8247099048,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,"Instructional Leader"
"bpenuel",198,133681.668140377,7,1696.23474157323,76,23572.0339160603,115,129893.19765662,TRUE,9,15.6666666666667,"Faculty",NA,"Monthly","3 years or more","Excellent","Excellent","Excellent","Monthly","Researcher"
"k12alliance",188,98455.6945310022,2,0,67,14537.5181934807,119,102062.537824354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lgates_science",176,169924.698221424,5,4289.45694782727,77,16357.1232670878,94,156808.426192049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bmsscienceteach",171,187958.447808169,51,23190.8751272013,25,11594.5157205673,95,182420.885377985,TRUE,2,31,"Teacher",NA,"Monthly","3 years or more","Good","Good","Good","Daily","Teacher"
"chienforstem",170,132664.146809878,6,3111.8958830255,78,0,86,136561.180023237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wandabryant",160,143804.737922531,13,2046.34453704781,39,34214.6352826336,108,140608.5500753,TRUE,16,213.916666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"drloriandersen",156,231200.932199294,25,6747.75062637326,46,45101.940806029,85,213054.208692397,FALSE,4,0,"Faculty",NA,"Frequency of use varies (please describe)","3 years or more","Excellent","Excellent","Excellent","2-3 times a week","Researcher"
"wested",148,36774.6302137945,NA,NA,57,9264.22292809554,91,37016.7761860347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"csssupervisors",136,2154.33919982052,NA,NA,0,0,136,1948.58124113663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bk3dsci",131,106048.016796186,22,16999.4812051202,31,4932.76330923973,78,101789.959792352,FALSE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"biottofni",130,0,NA,NA,65,0,65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doc_b_brown",127,68719.1216403456,NA,NA,50,0,77,67125.601976825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"robzook1",120,448.830280433971,NA,NA,58,16,62,448.830280433971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reiserbrianj",114,24727.0807083415,1,0,50,5503.52566368139,63,23072.1546237234,TRUE,3,4.33333333333333,"Faculty",NA,"Frequency of use varies (please describe)","3 years or more","Excellent","Excellent","Excellent","Once a week","Researcher"
"ngss_official",113,120,38,0,15,0,60,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"miss_schilling_",107,73248.0372909183,10,1780.62824175458,38,10620.0367187488,59,70906.6625110774,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"2footgiraffe",107,124453.898936335,16,2984.19786380505,34,6339.15816393029,57,120980.969611274,FALSE,6,0,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"nextgenstoryli1",102,15381.1319758506,NA,NA,15,2690.85163801717,87,16437.4917406734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frizzlerichard",99,107292.868973412,17,1763.47787007079,29,14937.1896435085,53,105266.982247689,TRUE,3,57.2222222222222,"Teacher",NA,"Monthly","3 years or more","Good","Good","Good","2-3 times a week","Teacher"
"mslorisstory",97,53080.534971023,12,4452.30023561379,34,12291.2541796585,51,50607.6750744738,TRUE,1,17.5,"Instructional Leader",NA,"Monthly","3 years or more","Excellent","Excellent","Excellent","Monthly","Instructional Leader"
"elemscitchr",95,0,NA,NA,34,0,61,0,TRUE,0,0,"Teacher",NA,"Participated once or twice","3 years or more","Good","Excellent","Excellent","2-3 times a week","Teacher"
"krsciencelady",94,257505.163733172,12,10444.9195413293,18,27720.5489546538,64,239086.267287979,TRUE,10,94.7777777777778,"Organization","consultant","Every other week","3 years or more","Good","Good","Good","Daily","Organization"
"leena219",91,0,NA,NA,34,0,57,0,TRUE,3,9,NA,NA,NA,NA,NA,NA,NA,NA,"Organization"
"abeslo",87,12019.3305055704,3,1301.17150377707,39,4015.27378086667,45,10654.6504071739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"krademaker",85,48165.509868386,6,0,27,6274.46349854204,52,47182.708760221,TRUE,2,68,"Organization","consultant","Every other week","3 years or more","Excellent","Excellent","Excellent","2-3 times a week","Organization"
"myscihi",84,86441.2728424146,6,1771.62002250224,31,2701.75408395093,47,84577.2014921373,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"Instructional Leader"
"_ngss_",84,0,NA,NA,NA,NA,84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acesseproject",81,15155.4224108657,NA,NA,0,0,81,18003.6790476937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3dplanjeanane",79,64545.7744325313,9,1824.73856557637,20,7204.17834921134,50,65829.2475713881,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"Instructional Leader"
"kispride",78,0,NA,NA,NA,NA,78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"astbigideas",77,0,NA,NA,NA,NA,77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msb_reilly",74,29851.5445083809,14,1197.66160316982,18,1955.13283661831,42,28072.366146265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrlindsey_ngss",74,35221.066109788,15,0,2,4,57,33844.4457220567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mistersci",73,39185.126734389,16,1294.42488531936,18,2359.34075759559,39,38416.0065083083,TRUE,0,0,"Teacher",NA,"Every other week","2- 3 years","Good","Good","Good","Once a week","Teacher"
"gretchenmilary",72,10398.5406005933,10,1953.30489302504,17,0,45,10594.8102374723,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"vogelwendi",71,47558.9818713087,6,1356.17745693614,24,3200.19415575102,41,46494.6188471696,FALSE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,"Instructional Leader"
"shchemistry",71,57835.4937990834,14,3064.25826113987,14,0,43,60718.954665826,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"wisdpiscience",71,0,NA,NA,27,0,44,0,TRUE,0,0,"Instructional Leader","administrator","Frequency of use varies (please describe)","3 years or more","Excellent","Excellent","Excellent","Frequency of use varies (please describe)","Instructional Leader"
"rvccngss",70,91922.9194408334,7,1308.22653735154,23,9371.53269132618,40,90758.3946849171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achosinfo",70,435160.474158516,14,3500.16785538236,13,137311.58467034,43,371171.996710389,TRUE,2,52,"Other","consultant","Every other week","3 years or more","Average","Good","Good","Frequency of use varies (please describe)","Other"
"earlyimplement",70,26996.2357419187,NA,NA,2,362.3,68,28838.522718573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ainissaramirez",67,25278.9970760617,1,4.00646828779821,23,4430.81163085925,43,24593.6002694224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achieveinc",66,16098.964943983,NA,NA,1,1.67355899327916,65,19909.641637777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inquiry_hub",64,3188.19729395609,0,0,10,449.274420447202,54,3392.80221908976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmgill135",63,89373.6142557677,17,6400.09193259484,9,17146.6253056538,37,89823.3934089643,TRUE,4,156.166666666667,"Organization","coach","Every other week","3 years or more","Excellent","Excellent","Excellent","Never","Organization"
"ngsssfocus",61,49927.1156342472,4,421.794505494506,3,599.7313083208,54,51914.8291493491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sciressoehl",60,265371.532665155,11,5757.59131175013,18,7379.95531599312,31,252809.250343807,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"uclascienceproj",60,85019.8646618976,2,0,18,20849.189432986,40,77994.4284760804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ksscienceguy",58,9235.3434768648,3,2.95444444444444,22,2809.94398675951,33,9272.29367764414,TRUE,1,27.5,"Organization",NA,"Frequency of use varies (please describe)","3 years or more","Excellent","Excellent","Excellent","Frequency of use varies (please describe)","Organization"
"paulandersen",58,56808.0076027311,1,414,2,0,55,55787.3807605859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ngssfresno",58,0,NA,NA,20,0,38,0,FALSE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,"Instructional Leader"
"katesor1027",57,3499.45728318537,8,617.1379597856,9,0,40,3503.91490094998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"starrscience",56,64177.1636682674,8,2936.96241371419,8,3444.27316320675,40,69400.3501367396,FALSE,7,0,NA,NA,NA,NA,NA,NA,NA,NA,"Organization"
