"name","indegree_all","betweenness_all","indegree_reply","betweenness_reply","indegree_retweet","betweenness_retweet","indegree_mention","betweenness_mention","responded","indegree_survey","betweenness_survey","professional_role","professional_role_10_text_coded","freq_use","length_of_use","confidence_ngss","know_framework","know_ngss","use_of_ngsschat","code"
"dinomanschatz",2,5.00629184295247,NA,NA,0,0,2,5.60247692722175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alicekeeler",2,2271,1,0,0,0,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eduprotocols",2,25980.1298447779,NA,NA,0,0,2,25375.0451336168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thewildfilm",2,1,NA,NA,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"storyboardthat",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"djacob1967",2,39.7993832409225,NA,NA,0,0,2,36.2116210313765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kindercolors_k",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inlibertatem",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naplescsd",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neptune_stem",2,4531.00000000001,NA,NA,0,0,2,4397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waiaholeel",2,2271,NA,NA,1,1,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrsbadesso",2,773.538022175278,NA,NA,1,2904,1,463.47865186709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drtcallahan",2,2271,NA,NA,1,363,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edureknoy",2,2913.94088962333,NA,NA,1,258.71671749418,1,2864.07957483708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chastainjjaca",2,0,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jessesemeyn",2,25.571524235192,NA,NA,1,22.6822391459125,1,18.6568939456625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kaneoheel",2,2270.00000000001,1,0,0,0,1,2203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rebecajandrade",2,1048.62591336303,NA,NA,1,363,1,841.616579866341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noaasatellites",2,2785,NA,NA,0,0,2,2785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"novaeducation",2,2785,NA,NA,0,0,2,2785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cbsunstoppable",2,8349,NA,NA,0,0,2,8349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"getteachergeek",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"marilynedu",2,2,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lschultemoore",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ewugeology",2,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mariamuser",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ajshaw23",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jremmerling",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"whysharksmatter",2,2271,NA,NA,1,363,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drjaciemaslyk",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrs_mani10",2,4542,NA,NA,0,0,2,4408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ayajlreimi",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c3physicso",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrdiazrusd",2,11330,NA,NA,1,1805,1,10995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jmulhernbiology",2,2.1445925239332,NA,NA,1,0.79273248499863,1,1.87905869803271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fwu9efwno2g9atl",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kenirienks",2,2270.99999999999,NA,NA,1,363,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"microearthsci",2,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"misslinsey1",2,3,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thomascmurray",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mathcoachrivera",2,2270,NA,NA,1,364,1,2203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apslz4",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kansasepscor",2,13.7312155364239,NA,NA,0,0,2,13.3128995396841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"burnsscicoach",2,2271,NA,NA,1,363,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thousandoakshs",2,4558.20748166017,NA,NA,0,0,2,4412.31183569126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ewbergmann",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctsciencecenter",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrslittlechemi1",2,1,NA,NA,1,16.1202624434483,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hidoeocid",2,2783,NA,NA,0,0,2,2783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bcrosby",2,2273,NA,NA,1,363,1,2206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"southwhittiersd",2,8355,NA,NA,0,0,2,8355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msliwacz",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"csulbsharklab",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sserafino",2,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"loganen3",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flemrarschools",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pledgecents",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"proctorschool",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paulsboropublic",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"learndbir",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eastcoastbrown",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aboutgeology",2,18.0643134655532,1,0,0,0,1,14.6377738616854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jaymerrill10",2,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scinvtech",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cjohanson45",2,1,NA,NA,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jderekscott1",2,2271,NA,NA,1,363,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"delmarsuper",2,1,NA,NA,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doublepeak_k8",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mreidescience",2,2271,NA,NA,1,363,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soccomproject",2,2784,NA,NA,0,0,2,2784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rowlandschools",2,2,NA,NA,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edtechsandbox",2,0.666666666666667,NA,NA,0,0,2,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uscrystalcomp",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrsa_sci",2,4.0638015880382,NA,NA,1,6.25768202015961,1,2.30072668229832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"q7w7nscjzeeoqp9",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"silsuzeta",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tosaschools",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mkellyoceanside",2,4,NA,NA,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chem_tweets",2,2271,NA,NA,1,363,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mahea818",2,2784.14285714286,NA,NA,1,0,1,2784.11111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"armstrongpusd",2,2.66918555835432,NA,NA,0,0,2,2.67610062893082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lomavistalobos",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missspinozza",2,0.0363636363636364,NA,NA,0,0,2,0.0294117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"steminccps",2,2271,NA,NA,1,363,1,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jcbjr",2,2785,1,0,0,0,1,2785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"capxlab",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meezyblvd",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deb_norton",2,0,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hadyniaks",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"qmulscieng",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sharmeenmoosa",2,2276,NA,NA,1,0,1,2209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ljblank",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ranchowallc",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"perezhasclass",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teli_ms",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blackphysicists",2,37.5838475525364,NA,NA,NA,NA,2,33.7479577473519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vanessalcurtis",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kimberlyallard",2,4,NA,NA,1,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alexkane_420",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d__vanderploeg",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stacystiffler",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sharonjsherman",2,3,NA,NA,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fourwindsnature",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"denisecwright",2,2785,NA,NA,1,0,1,2785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ryeconsulting",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anonymo64439103",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nciea1",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ezbyte",2,2774,NA,NA,1,0,1,2774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"triassociation",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"djwink1",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msslanker307",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4chemevolution",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_tinavo",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrbkirby",2,2787.00900900901,NA,NA,1,0,1,2787.01639344262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"envirovolun",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jallena3",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shobica_wadhwa",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"warnerscience",2,1,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrsbradysclass",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"revelethbgc",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msellison18",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kellibuxton",2,2274,NA,NA,1,0,1,2207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrsjankord",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bakojason",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"prford5",2,5,NA,NA,1,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kristahach",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edscoop_news",2,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"johannmundy",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jonterlee",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bmcmanus_7",2,3,1,0,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"channicholl",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sciencewithshea",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reubenhoffman",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ccanfield100",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tashrios",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teachantoun",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cmorrisonthomas",2,2417.19289059272,NA,NA,1,0,1,2388.02056741564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rosedalebcps",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jumbominds",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jenkins_daniele",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mililaff",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pewwildcats",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bookcreator_cat",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thegrimmgang",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jesselmaine",2,3,NA,NA,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kblefrancois",2,2785,NA,NA,1,0,1,2785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scocchi1",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mr_kogas_class",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teckersheryl",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mr_mandell",2,6.11764705882353,NA,NA,1,0,1,6.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mspowellteaches",2,5,NA,NA,1,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allisonhodges77",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somabis52133092",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vmariep27",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"timetoteachstem",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrstruskiewicz",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmfosnaugh",2,3,NA,NA,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"auntyabee",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrjchernandez",2,5572,NA,NA,NA,NA,2,5572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gmckinney2",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ntampio",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stacymdunn",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kimberlierens",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sarahcscribbles",2,710.167891091404,NA,NA,NA,NA,2,942.625324675362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mswhitescience",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paigejrollins",2,107.758488435314,NA,NA,1,0,1,122.495487812761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"marislamorena1",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_stem",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nialearns",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eceforlife",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thisbikerreads",2,3,NA,NA,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"altalomajh",2,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrstytus",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ebertjess",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kehappenings",2,2162.16605494976,NA,NA,1,0,1,2238.40096743082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kromo1001",2,3,NA,NA,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"geneva304_sci",2,5568,NA,NA,1,0,1,5568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twigscience",2,4,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mscarey02",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sdpaulette",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kjsain",2,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrhallreed",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yoakum5",2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waeducates",2,2277,NA,NA,1,0,1,2210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"steven_kolber",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kris10gab",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kenwaugh7",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kerri119",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03moonchild_",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adlavinsky",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nabrukkk",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jakejameslugo",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xobw4dphnpedgo4",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cathyyoung63",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dalegentrymn",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pmddomingos",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cheridinovo",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brianwfrank",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jonathanspike",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sbagley",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lejaeeeeee",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iimplovv",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brasil_fortnite",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pploppsngtyrnny",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"comcultgirl",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"slnadams",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clamsandsnails",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cxlixtx",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shirky17",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sciteach79",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aguynamednam",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kellymeans",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"miyumin7",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"monta_091",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mlabbottwrites",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_hafsat_paki",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"robbiesharpp",2,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
